Motivo principal;Concepto turístico;Tipo de dato;Periodo;Total
Total;Viajes;Valor absoluto;2024M12;14.321.016
Total;Viajes;Valor absoluto;2024M11;11.561.861
Total;Viajes;Valor absoluto;2024M10;12.486.330
Total;Viajes;Valor absoluto;2024M09;16.101.193
Total;Viajes;Valor absoluto;2024M08;24.867.614
Total;Viajes;Valor absoluto;2024M07;19.444.798
Total;Viajes;Valor absoluto;2024M06;16.787.625
Total;Viajes;Valor absoluto;2024M05;14.497.375
Total;Viajes;Valor absoluto;2024M04;13.808.028
Total;Viajes;Valor absoluto;2024M03;15.741.003
Total;Viajes;Valor absoluto;2024M02;11.675.918
Total;Viajes;Valor absoluto;2024M01;13.138.348
Total;Viajes;Valor absoluto;2023M12;15.634.104
Total;Viajes;Valor absoluto;2023M11;11.377.268
Total;Viajes;Valor absoluto;2023M10;14.642.161
Total;Viajes;Valor absoluto;2023M09;15.259.151
Total;Viajes;Valor absoluto;2023M08;24.946.571
Total;Viajes;Valor absoluto;2023M07;20.345.881
Total;Viajes;Valor absoluto;2023M06;15.474.338
Total;Viajes;Valor absoluto;2023M05;15.410.377
Total;Viajes;Valor absoluto;2023M04;17.551.137
Total;Viajes;Valor absoluto;2023M03;11.497.505
Total;Viajes;Valor absoluto;2023M02;11.123.596
Total;Viajes;Valor absoluto;2023M01;12.633.075
Total;Viajes;Valor absoluto;2022M12;13.518.506
Total;Viajes;Valor absoluto;2022M11;11.013.389
Total;Viajes;Valor absoluto;2022M10;13.348.670
Total;Viajes;Valor absoluto;2022M09;14.107.448
Total;Viajes;Valor absoluto;2022M08;23.379.255
Total;Viajes;Valor absoluto;2022M07;19.281.679
Total;Viajes;Valor absoluto;2022M06;13.943.429
Total;Viajes;Valor absoluto;2022M05;14.529.882
Total;Viajes;Valor absoluto;2022M04;16.166.168
Total;Viajes;Valor absoluto;2022M03;10.678.081
Total;Viajes;Valor absoluto;2022M02;10.864.440
Total;Viajes;Valor absoluto;2022M01;10.557.194
Total;Viajes;Valor absoluto;2021M12;12.085.054
Total;Viajes;Valor absoluto;2021M11;10.877.463
Total;Viajes;Valor absoluto;2021M10;13.381.736
Total;Viajes;Valor absoluto;2021M09;14.610.700
Total;Viajes;Valor absoluto;2021M08;24.058.088
Total;Viajes;Valor absoluto;2021M07;18.366.007
Total;Viajes;Valor absoluto;2021M06;14.494.769
Total;Viajes;Valor absoluto;2021M05;11.707.283
Total;Viajes;Valor absoluto;2021M04;8.091.823
Total;Viajes;Valor absoluto;2021M03;6.020.670
Total;Viajes;Valor absoluto;2021M02;4.266.377
Total;Viajes;Valor absoluto;2021M01;4.933.492
Total;Viajes;Valor absoluto;2020M12;5.353.441
Total;Viajes;Valor absoluto;2020M11;4.686.848
Total;Viajes;Valor absoluto;2020M10;7.147.771
Total;Viajes;Valor absoluto;2020M09;11.036.963
Total;Viajes;Valor absoluto;2020M08;20.646.682
Total;Viajes;Valor absoluto;2020M07;14.452.848
Total;Viajes;Valor absoluto;2020M06;6.699.428
Total;Viajes;Valor absoluto;2020M05;1.819.012
Total;Viajes;Valor absoluto;2020M04;508.820
Total;Viajes;Valor absoluto;2020M03;4.441.043
Total;Viajes;Valor absoluto;2020M02;11.856.587
Total;Viajes;Valor absoluto;2020M01;12.874.418
Total;Viajes;Valor absoluto;2019M12;15.213.332
Total;Viajes;Valor absoluto;2019M11;12.348.755
Total;Viajes;Valor absoluto;2019M10;12.949.798
Total;Viajes;Valor absoluto;2019M09;16.310.247
Total;Viajes;Valor absoluto;2019M08;24.961.920
Total;Viajes;Valor absoluto;2019M07;19.844.302
Total;Viajes;Valor absoluto;2019M06;17.553.939
Total;Viajes;Valor absoluto;2019M05;15.230.869
Total;Viajes;Valor absoluto;2019M04;17.689.582
Total;Viajes;Valor absoluto;2019M03;14.628.319
Total;Viajes;Valor absoluto;2019M02;13.249.251
Total;Viajes;Valor absoluto;2019M01;13.894.402
Total;Viajes;Valor absoluto;2018M12;13.531.493
Total;Viajes;Valor absoluto;2018M11;12.105.452
Total;Viajes;Valor absoluto;2018M10;14.505.001
Total;Viajes;Valor absoluto;2018M09;17.104.259
Total;Viajes;Valor absoluto;2018M08;26.222.017
Total;Viajes;Valor absoluto;2018M07;21.245.888
Total;Viajes;Valor absoluto;2018M06;16.482.696
Total;Viajes;Valor absoluto;2018M05;15.984.489
Total;Viajes;Valor absoluto;2018M04;18.247.813
Total;Viajes;Valor absoluto;2018M03;13.679.509
Total;Viajes;Valor absoluto;2018M02;12.712.905
Total;Viajes;Valor absoluto;2018M01;14.257.947
Total;Viajes;Valor absoluto;2017M12;13.704.873
Total;Viajes;Valor absoluto;2017M11;11.458.016
Total;Viajes;Valor absoluto;2017M10;14.872.558
Total;Viajes;Valor absoluto;2017M09;17.035.207
Total;Viajes;Valor absoluto;2017M08;25.821.789
Total;Viajes;Valor absoluto;2017M07;21.134.448
Total;Viajes;Valor absoluto;2017M06;16.124.991
Total;Viajes;Valor absoluto;2017M05;15.631.218
Total;Viajes;Valor absoluto;2017M04;18.630.786
Total;Viajes;Valor absoluto;2017M03;13.060.931
Total;Viajes;Valor absoluto;2017M02;12.370.745
Total;Viajes;Valor absoluto;2017M01;13.843.727
Total;Viajes;Valor absoluto;2016M12;12.762.124
Total;Viajes;Valor absoluto;2016M11;11.299.768
Total;Viajes;Valor absoluto;2016M10;13.823.717
