Motivo del viaje;Tipo de dato;Periodo;Total
Total;Dato base;2025M03;6.593.604
Total;Dato base;2025M02;5.397.279
Total;Dato base;2025M01;5.065.094
Total;Dato base;2024M12;5.264.375
Total;Dato base;2024M11;5.670.219
Total;Dato base;2024M10;8.961.932
Total;Dato base;2024M09;9.602.015
Total;Dato base;2024M08;10.929.584
Total;Dato base;2024M07;10.852.347
Total;Dato base;2024M06;9.299.574
Total;Dato base;2024M05;9.255.985
Total;Dato base;2024M04;7.783.750
Total;Dato base;2024M03;6.350.471
Total;Dato base;2024M02;5.013.497
Total;Dato base;2024M01;4.775.549
Total;Dato base;2023M12;5.209.085
Total;Dato base;2023M11;5.135.498
Total;Dato base;2023M10;8.187.022
Total;Dato base;2023M09;8.795.425
Total;Dato base;2023M08;10.186.163
Total;Dato base;2023M07;10.116.916
Total;Dato base;2023M06;8.307.460
Total;Dato base;2023M05;8.300.384
Total;Dato base;2023M04;7.228.094
Total;Dato base;2023M03;5.247.341
Total;Dato base;2023M02;4.320.665
Total;Dato base;2023M01;4.134.995
Total;Dato base;2022M12;4.127.293
Total;Dato base;2022M11;4.334.651
Total;Dato base;2022M10;7.176.984
Total;Dato base;2022M09;7.767.211
Total;Dato base;2022M08;8.848.665
Total;Dato base;2022M07;9.091.390
Total;Dato base;2022M06;7.498.156
Total;Dato base;2022M05;6.988.353
Total;Dato base;2022M04;6.106.316
Total;Dato base;2022M03;4.039.532
Total;Dato base;2022M02;3.179.288
Total;Dato base;2022M01;2.501.443
Total;Dato base;2021M12;2.947.525
Total;Dato base;2021M11;3.361.913
Total;Dato base;2021M10;5.148.820
Total;Dato base;2021M09;4.703.933
Total;Dato base;2021M08;5.196.520
Total;Dato base;2021M07;4.398.992
Total;Dato base;2021M06;2.216.356
Total;Dato base;2021M05;1.363.164
Total;Dato base;2021M04;629.206
Total;Dato base;2021M03;491.427
Total;Dato base;2021M02;284.974
Total;Dato base;2021M01;437.973
Total;Dato base;2020M12;648.989
Total;Dato base;2020M11;456.814
Total;Dato base;2020M10;1.020.773
Total;Dato base;2020M09;1.138.868
Total;Dato base;2020M08;2.440.978
Total;Dato base;2020M07;2.464.779
Total;Dato base;2020M06;204.272
Total;Dato base;2020M05;0
Total;Dato base;2020M04;0
Total;Dato base;2020M03;1.997.262
Total;Dato base;2020M02;4.427.344
Total;Dato base;2020M01;4.133.024
