Tipo de dato;Motivo del viaje;Periodo;Total
Dato base;Total;2025M03;6.593.604
Dato base;Total;2025M02;5.397.279
Dato base;Total;2025M01;5.065.094
Dato base;Total;2024M12;5.264.375
Dato base;Total;2024M11;5.670.219
Dato base;Total;2024M10;8.961.932
Dato base;Total;2024M09;9.602.015
Dato base;Total;2024M08;10.929.584
Dato base;Total;2024M07;10.852.347
Dato base;Total;2024M06;9.299.574
Dato base;Total;2024M05;9.255.985
Dato base;Total;2024M04;7.783.750
Dato base;Total;2024M03;6.350.471
Dato base;Total;2024M02;5.013.497
Dato base;Total;2024M01;4.775.549
Dato base;Total;2023M12;5.209.085
Dato base;Total;2023M11;5.135.498
Dato base;Total;2023M10;8.187.022
Dato base;Total;2023M09;8.795.425
Dato base;Total;2023M08;10.186.163
Dato base;Total;2023M07;10.116.916
Dato base;Total;2023M06;8.307.460
Dato base;Total;2023M05;8.300.384
Dato base;Total;2023M04;7.228.094
Dato base;Total;2023M03;5.247.341
Dato base;Total;2023M02;4.320.665
Dato base;Total;2023M01;4.134.995
Dato base;Total;2022M12;4.127.293
Dato base;Total;2022M11;4.334.651
Dato base;Total;2022M10;7.176.984
Dato base;Total;2022M09;7.767.211
Dato base;Total;2022M08;8.848.665
Dato base;Total;2022M07;9.091.390
Dato base;Total;2022M06;7.498.156
Dato base;Total;2022M05;6.988.353
Dato base;Total;2022M04;6.106.316
Dato base;Total;2022M03;4.039.532
Dato base;Total;2022M02;3.179.288
Dato base;Total;2022M01;2.501.443
Dato base;Total;2021M12;2.947.525
Dato base;Total;2021M11;3.361.913
Dato base;Total;2021M10;5.148.820
Dato base;Total;2021M09;4.703.933
Dato base;Total;2021M08;5.196.520
Dato base;Total;2021M07;4.398.992
Dato base;Total;2021M06;2.216.356
Dato base;Total;2021M05;1.363.164
Dato base;Total;2021M04;629.206
Dato base;Total;2021M03;491.427
Dato base;Total;2021M02;284.974
Dato base;Total;2021M01;437.973
Dato base;Total;2020M12;648.989
Dato base;Total;2020M11;456.814
Dato base;Total;2020M10;1.020.773
Dato base;Total;2020M09;1.138.868
Dato base;Total;2020M08;2.440.978
Dato base;Total;2020M07;2.464.779
Dato base;Total;2020M06;204.272
Dato base;Total;2020M05;0
Dato base;Total;2020M04;0
Dato base;Total;2020M03;1.997.262
Dato base;Total;2020M02;4.427.344
Dato base;Total;2020M01;4.133.024
Dato base;Total;2019M12;4.304.741
Dato base;Total;2019M11;4.655.021
Dato base;Total;2019M10;7.587.749
Dato base;Total;2019M09;8.845.152
Dato base;Total;2019M08;10.118.366
Dato base;Total;2019M07;9.873.270
Dato base;Total;2019M06;8.833.893
Dato base;Total;2019M05;7.919.204
Dato base;Total;2019M04;7.146.033
Dato base;Total;2019M03;5.649.577
Dato base;Total;2019M02;4.380.504
Dato base;Total;2019M01;4.195.641
Dato base;Total;2018M12;4.354.798
Dato base;Total;2018M11;4.536.873
Dato base;Total;2018M10;7.649.860
Dato base;Total;2018M09;8.932.308
Dato base;Total;2018M08;10.175.761
Dato base;Total;2018M07;10.020.246
Dato base;Total;2018M06;8.554.306
Dato base;Total;2018M05;8.086.048
Dato base;Total;2018M04;6.780.378
Dato base;Total;2018M03;5.393.186
Dato base;Total;2018M02;4.218.047
Dato base;Total;2018M01;4.106.601
Dato base;Total;2017M12;3.982.530
Dato base;Total;2017M11;4.392.575
Dato base;Total;2017M10;7.269.931
Dato base;Total;2017M09;8.877.270
Dato base;Total;2017M08;10.397.745
Dato base;Total;2017M07;10.493.438
Dato base;Total;2017M06;8.431.975
Dato base;Total;2017M05;8.002.648
Dato base;Total;2017M04;7.081.594
Dato base;Total;2017M03;4.913.943
Dato base;Total;2017M02;4.119.137
Dato base;Total;2017M01;3.905.736
Dato base;Total;2016M12;3.990.446
Dato base;Total;2016M11;4.098.262
Dato base;Total;2016M10;7.137.723
Dato base;Total;2016M09;7.932.607
Dato base;Total;2016M08;10.027.471
Dato base;Total;2016M07;9.545.792
Dato base;Total;2016M06;7.552.758
Dato base;Total;2016M05;7.111.154
Dato base;Total;2016M04;6.086.327
Dato base;Total;2016M03;4.627.206
Dato base;Total;2016M02;3.678.726
Dato base;Total;2016M01;3.526.537
Dato base;Total;2015M12;3.512.914
Dato base;Total;2015M11;3.754.802
Dato base;Total;2015M10;6.432.341
Dato base;Ocio, recreo y vacaciones;2025M03;5.306.743
Dato base;Ocio, recreo y vacaciones;2025M02;4.422.360
Dato base;Ocio, recreo y vacaciones;2025M01;4.119.870
Dato base;Ocio, recreo y vacaciones;2024M12;4.257.518
Dato base;Ocio, recreo y vacaciones;2024M11;4.622.268
Dato base;Ocio, recreo y vacaciones;2024M10;7.796.628
Dato base;Ocio, recreo y vacaciones;2024M09;8.474.002
Dato base;Ocio, recreo y vacaciones;2024M08;10.156.706
Dato base;Ocio, recreo y vacaciones;2024M07;9.894.693
Dato base;Ocio, recreo y vacaciones;2024M06;8.081.685
Dato base;Ocio, recreo y vacaciones;2024M05;8.070.902
Dato base;Ocio, recreo y vacaciones;2024M04;6.528.656
Dato base;Ocio, recreo y vacaciones;2024M03;5.199.955
Dato base;Ocio, recreo y vacaciones;2024M02;4.045.261
Dato base;Ocio, recreo y vacaciones;2024M01;3.920.738
Dato base;Ocio, recreo y vacaciones;2023M12;4.174.457
Dato base;Ocio, recreo y vacaciones;2023M11;4.181.913
Dato base;Ocio, recreo y vacaciones;2023M10;6.997.851
Dato base;Ocio, recreo y vacaciones;2023M09;7.850.297
Dato base;Ocio, recreo y vacaciones;2023M08;9.392.958
Dato base;Ocio, recreo y vacaciones;2023M07;9.226.130
Dato base;Ocio, recreo y vacaciones;2023M06;7.273.357
Dato base;Ocio, recreo y vacaciones;2023M05;7.273.620
Dato base;Ocio, recreo y vacaciones;2023M04;6.191.036
Dato base;Ocio, recreo y vacaciones;2023M03;4.289.177
Dato base;Ocio, recreo y vacaciones;2023M02;3.511.872
Dato base;Ocio, recreo y vacaciones;2023M01;3.412.404
Dato base;Ocio, recreo y vacaciones;2022M12;3.319.525
Dato base;Ocio, recreo y vacaciones;2022M11;3.554.483
Dato base;Ocio, recreo y vacaciones;2022M10;6.128.414
Dato base;Ocio, recreo y vacaciones;2022M09;6.863.955
Dato base;Ocio, recreo y vacaciones;2022M08;8.156.393
Dato base;Ocio, recreo y vacaciones;2022M07;8.304.492
Dato base;Ocio, recreo y vacaciones;2022M06;6.668.228
Dato base;Ocio, recreo y vacaciones;2022M05;5.931.285
Dato base;Ocio, recreo y vacaciones;2022M04;5.204.968
Dato base;Ocio, recreo y vacaciones;2022M03;3.358.283
Dato base;Ocio, recreo y vacaciones;2022M02;2.632.372
Dato base;Ocio, recreo y vacaciones;2022M01;2.009.257
Dato base;Ocio, recreo y vacaciones;2021M12;2.345.683
Dato base;Ocio, recreo y vacaciones;2021M11;2.815.695
Dato base;Ocio, recreo y vacaciones;2021M10;4.519.648
Dato base;Ocio, recreo y vacaciones;2021M09;4.161.869
Dato base;Ocio, recreo y vacaciones;2021M08;4.758.280
Dato base;Ocio, recreo y vacaciones;2021M07;3.871.103
Dato base;Ocio, recreo y vacaciones;2021M06;1.775.810
Dato base;Ocio, recreo y vacaciones;2021M05;1.006.187
Dato base;Ocio, recreo y vacaciones;2021M04;390.801
Dato base;Ocio, recreo y vacaciones;2021M03;267.565
Dato base;Ocio, recreo y vacaciones;2021M02;162.575
Dato base;Ocio, recreo y vacaciones;2021M01;274.925
Dato base;Ocio, recreo y vacaciones;2020M12;385.414
Dato base;Ocio, recreo y vacaciones;2020M11;295.647
Dato base;Ocio, recreo y vacaciones;2020M10;800.953
Dato base;Ocio, recreo y vacaciones;2020M09;902.587
Dato base;Ocio, recreo y vacaciones;2020M08;2.169.355
Dato base;Ocio, recreo y vacaciones;2020M07;2.122.117
Dato base;Ocio, recreo y vacaciones;2020M06;167.634
Dato base;Ocio, recreo y vacaciones;2020M05;0
Dato base;Ocio, recreo y vacaciones;2020M04;0
Dato base;Ocio, recreo y vacaciones;2020M03;1.657.119
Dato base;Ocio, recreo y vacaciones;2020M02;3.654.750
