Concepto turístico;Destino principal;Motivo principal;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Transporte principal;Forma de organización del viaje;Duración del viaje;Tipo de origen;Periodo;Total
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M12;14.321.016
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M11;11.561.861
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M10;12.486.330
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M09;16.101.193
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M08;24.867.614
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M07;19.444.798
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M06;16.787.625
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M05;14.497.375
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M04;13.808.028
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M03;15.741.003
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M02;11.675.918
Viajes;Total;Total;Total;;Total;Total;Total;Total;2024M01;13.138.348
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M12;15.634.104
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M11;11.377.268
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M10;14.642.161
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M09;15.259.151
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M08;24.946.571
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M07;20.345.881
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M06;15.474.338
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M05;15.410.377
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M04;17.551.137
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M03;11.497.505
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M02;11.123.596
Viajes;Total;Total;Total;;Total;Total;Total;Total;2023M01;12.633.075
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M12;13.518.506
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M11;11.013.389
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M10;13.348.670
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M09;14.107.448
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M08;23.379.255
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M07;19.281.679
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M06;13.943.429
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M05;14.529.882
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M04;16.166.168
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M03;10.678.081
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M02;10.864.440
Viajes;Total;Total;Total;;Total;Total;Total;Total;2022M01;10.557.194
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M12;12.085.054
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M11;10.877.463
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M10;13.381.736
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M09;14.610.700
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M08;24.058.088
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M07;18.366.007
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M06;14.494.769
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M05;11.707.283
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M04;8.091.823
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M03;6.020.670
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M02;4.266.377
Viajes;Total;Total;Total;;Total;Total;Total;Total;2021M01;4.933.492
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M12;5.353.441
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M11;4.686.848
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M10;7.147.771
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M09;11.036.963
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M08;20.646.682
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M07;14.452.848
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M06;6.699.428
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M05;1.819.012
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M04;508.820
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M03;4.441.043
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M02;11.856.587
Viajes;Total;Total;Total;;Total;Total;Total;Total;2020M01;12.874.418
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M12;15.213.332
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M11;12.348.755
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M10;12.949.798
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M09;16.310.247
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M08;24.961.920
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M07;19.844.302
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M06;17.553.939
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M05;15.230.869
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M04;17.689.582
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M03;14.628.319
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M02;13.249.251
Viajes;Total;Total;Total;;Total;Total;Total;Total;2019M01;13.894.402
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M12;13.531.493
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M11;12.105.452
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M10;14.505.001
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M09;17.104.259
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M08;26.222.017
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M07;21.245.888
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M06;16.482.696
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M05;15.984.489
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M04;18.247.813
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M03;13.679.509
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M02;12.712.905
Viajes;Total;Total;Total;;Total;Total;Total;Total;2018M01;14.257.947
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M12;13.704.873
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M11;11.458.016
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M10;14.872.558
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M09;17.035.207
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M08;25.821.789
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M07;21.134.448
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M06;16.124.991
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M05;15.631.218
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M04;18.630.786
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M03;13.060.931
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M02;12.370.745
Viajes;Total;Total;Total;;Total;Total;Total;Total;2017M01;13.843.727
Viajes;Total;Total;Total;;Total;Total;Total;Total;2016M12;12.762.124
Viajes;Total;Total;Total;;Total;Total;Total;Total;2016M11;11.299.768
Viajes;Total;Total;Total;;Total;Total;Total;Total;2016M10;13.823.717
Viajes;Total;Total;Total;;Total;Total;Total;Total;2016M09;15.830.606
Viajes;Total;Total;Total;;Total;Total;Total;Total;2016M08;24.854.673
Viajes;Total;Total;Total;;Total;Total;Total;Total;2016M07;20.298.016
Viajes;Total;Total;Total;;Total;Total;Total;Total;2016M06;15.083.396
