Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Total;Viajes;Valor absoluto;2024;184.431.108
Total;Viajes;Valor absoluto;2023;185.895.163
Total;Viajes;Valor absoluto;2022;171.388.138
Total;Viajes;Valor absoluto;2021;142.893.461
Total;Viajes;Valor absoluto;2020;101.523.862
Total;Viajes;Valor absoluto;2019;193.874.716
Total;Viajes;Valor absoluto;2018;196.079.470
Total;Viajes;Valor absoluto;2017;193.689.289
Total;Viajes;Valor absoluto;2016;181.950.842
Total;Viajes;Valor absoluto;2015;175.470.741
Total;Duración media de los viajes;Valor absoluto;2024;4,40
Total;Duración media de los viajes;Valor absoluto;2023;4,31
Total;Duración media de los viajes;Valor absoluto;2022;4,35
Total;Duración media de los viajes;Valor absoluto;2021;4,38
Total;Duración media de los viajes;Valor absoluto;2020;4,86
Total;Duración media de los viajes;Valor absoluto;2019;4,09
Total;Duración media de los viajes;Valor absoluto;2018;4,06
Total;Duración media de los viajes;Valor absoluto;2017;4,14
Total;Duración media de los viajes;Valor absoluto;2016;4,29
Total;Duración media de los viajes;Valor absoluto;2015;4,27
Total;Pernoctaciones;Valor absoluto;2024;811.180.874
Total;Pernoctaciones;Valor absoluto;2023;802.083.174
Total;Pernoctaciones;Valor absoluto;2022;745.821.861
Total;Pernoctaciones;Valor absoluto;2021;626.172.389
Total;Pernoctaciones;Valor absoluto;2020;493.409.224
Total;Pernoctaciones;Valor absoluto;2019;793.908.137
Total;Pernoctaciones;Valor absoluto;2018;796.139.237
Total;Pernoctaciones;Valor absoluto;2017;801.948.843
Total;Pernoctaciones;Valor absoluto;2016;780.324.511
Total;Pernoctaciones;Valor absoluto;2015;749.670.798
Total;Gasto total;Valor absoluto;2024;62.233.116,14
Total;Gasto total;Valor absoluto;2023;58.750.025,65
Total;Gasto total;Valor absoluto;2022;50.292.009,69
Total;Gasto total;Valor absoluto;2021;32.520.685,15
Total;Gasto total;Valor absoluto;2020;21.135.056,78
Total;Gasto total;Valor absoluto;2019;48.065.843,70
Total;Gasto total;Valor absoluto;2018;46.942.957,60
Total;Gasto total;Valor absoluto;2017;44.232.732,05
Total;Gasto total;Valor absoluto;2016;41.388.181,34
Total;Gasto total;Valor absoluto;2015;37.953.241,02
Total;Gasto medio por persona;Valor absoluto;2024;337,43
Total;Gasto medio por persona;Valor absoluto;2023;316,04
Total;Gasto medio por persona;Valor absoluto;2022;293,44
Total;Gasto medio por persona;Valor absoluto;2021;227,59
Total;Gasto medio por persona;Valor absoluto;2020;208,18
Total;Gasto medio por persona;Valor absoluto;2019;247,92
Total;Gasto medio por persona;Valor absoluto;2018;239,41
Total;Gasto medio por persona;Valor absoluto;2017;228,37
Total;Gasto medio por persona;Valor absoluto;2016;227,47
Total;Gasto medio por persona;Valor absoluto;2015;216,29
Total;Gasto medio diario por persona;Valor absoluto;2024;76,72
Total;Gasto medio diario por persona;Valor absoluto;2023;73,25
Total;Gasto medio diario por persona;Valor absoluto;2022;67,43
Total;Gasto medio diario por persona;Valor absoluto;2021;51,94
Total;Gasto medio diario por persona;Valor absoluto;2020;42,83
Total;Gasto medio diario por persona;Valor absoluto;2019;60,54
Total;Gasto medio diario por persona;Valor absoluto;2018;58,96
Total;Gasto medio diario por persona;Valor absoluto;2017;55,16
Total;Gasto medio diario por persona;Valor absoluto;2016;53,04
Total;Gasto medio diario por persona;Valor absoluto;2015;50,63
