,dia,mes,anio,festivo,provincia,comunidad,ambito
0,1,Enero,2015,Año nuevo,Alava,Pais Vasco,nacional
1,6,Enero,2015,Epifanía del Señor,Alava,Pais Vasco,nacional
2,19,Marzo,2015,San José,Alava,Pais Vasco,regional
3,2,Abril,2015,Jueves Santo,Alava,Pais Vasco,regional
4,3,Abril,2015,Viernes Santo,Alava,Pais Vasco,nacional
5,6,Abril,2015,Lunes de Pascua,Alava,Pais Vasco,regional
6,28,Abril,2015,San Prudencio,Alava,Pais Vasco,local
7,1,Mayo,2015,Día del trabajo,Alava,Pais Vasco,nacional
8,25,Julio,2015,Santiago Apostol,Alava,Pais Vasco,regional
9,5,Agosto,2015,Virgen Blanca,Alava,Pais Vasco,local
10,15,Agosto,2015,Asunción de la Virgen,Alava,Pais Vasco,nacional
11,12,Octubre,2015,Fiesta Nacional Española,Alava,Pais Vasco,nacional
12,8,Diciembre,2015,Inmaculada Concepción,Alava,Pais Vasco,nacional
13,25,Diciembre,2015,Natividad del Señor,Alava,Pais Vasco,nacional
14,1,Enero,2016,Año nuevo,Alava,Pais Vasco,nacional
15,6,Enero,2016,Epifanía del Señor,Alava,Pais Vasco,nacional
16,24,Marzo,2016,Jueves Santo,Alava,Pais Vasco,regional
17,25,Marzo,2016,Viernes Santo,Alava,Pais Vasco,nacional
18,28,Marzo,2016,Lunes de Pascua,Alava,Pais Vasco,regional
19,28,Abril,2016,San Prudencio,Alava,Pais Vasco,local
20,25,Julio,2016,Santiago Apóstol,Alava,Pais Vasco,regional
21,5,Agosto,2016,Virgen Blanca,Alava,Pais Vasco,local
22,15,Agosto,2016,Asunción de la Virgen,Alava,Pais Vasco,nacional
23,7,Octubre,2016,80º Aniversario primer Gobierno Vasco,Alava,Pais Vasco,regional
24,12,Octubre,2016,Fiesta Nacional Española,Alava,Pais Vasco,nacional
25,1,Noviembre,2016,Día de Todos los Santos,Alava,Pais Vasco,nacional
26,6,Diciembre,2016,Día de la Constitución Española,Alava,Pais Vasco,nacional
27,8,Diciembre,2016,Inmaculada Concepción,Alava,Pais Vasco,nacional
28,6,Enero,2017,Epifanía del Señor,Alava,Pais Vasco,nacional
29,13,Abril,2017,Jueves Santo,Alava,Pais Vasco,regional
30,14,Abril,2017,Viernes Santo,Alava,Pais Vasco,nacional
31,17,Abril,2017,Lunes de Pascua,Alava,Pais Vasco,regional
32,28,Abril,2017,San Prudencio,Alava,Pais Vasco,local
33,1,Mayo,2017,Día del Trabajo,Alava,Pais Vasco,nacional
34,25,Julio,2017,Santiago Apóstol,Alava,Pais Vasco,regional
35,5,Agosto,2017,Virgen Blanca,Alava,Pais Vasco,local
36,15,Agosto,2017,Asunción de la Virgen,Alava,Pais Vasco,nacional
37,12,Octubre,2017,Fiesta Nacional Española,Alava,Pais Vasco,nacional
38,1,Noviembre,2017,Día de Todos los Santos,Alava,Pais Vasco,nacional
39,6,Diciembre,2017,Día de la Constitución Española,Alava,Pais Vasco,nacional
40,8,Diciembre,2017,Inmaculada Concepción,Alava,Pais Vasco,nacional
41,25,Diciembre,2017,Natividad del Señor,Alava,Pais Vasco,nacional
42,1,Enero,2018,Año nuevo,Alava,Pais Vasco,nacional
43,6,Enero,2018,Epifanía del Señor,Alava,Pais Vasco,nacional
44,29,Marzo,2018,Jueves Santo,Alava,Pais Vasco,regional
45,30,Marzo,2018,Viernes Santo,Alava,Pais Vasco,nacional
46,2,Abril,2018,Lunes de Pascua,Alava,Pais Vasco,regional
47,28,Abril,2018,San Prudencio,Alava,Pais Vasco,local
48,1,Mayo,2018,Fiesta del Trabajo,Alava,Pais Vasco,nacional
49,15,Agosto,2018,Asunción de la Virgen,Alava,Pais Vasco,nacional
50,12,Octubre,2018,Fiesta Nacional Española,Alava,Pais Vasco,nacional
51,1,Noviembre,2018,Día de Todos los Santos,Alava,Pais Vasco,nacional
52,6,Diciembre,2018,Día de la Constitución Española,Alava,Pais Vasco,nacional
53,8,Diciembre,2018,Inmaculada Concepción,Alava,Pais Vasco,nacional
54,25,Diciembre,2018,Navidad,Alava,Pais Vasco,nacional
55,1,Enero,2019,Año nuevo,Alava,Pais Vasco,nacional
56,19,Marzo,2019,San José,Alava,Pais Vasco,regional
57,18,Abril,2019,Jueves Santo,Alava,Pais Vasco,regional
58,19,Abril,2019,Viernes Santo,Alava,Pais Vasco,nacional
59,22,Abril,2019,Lunes de Pascua,Alava,Pais Vasco,regional
60,28,Abril,2019,San Prudencio(se traslada al lunes),Alava,Pais Vasco,local
61,1,Mayo,2019,Fiesta del Trabajo,Alava,Pais Vasco,nacional
62,25,Julio,2019,Santiago Apóstol,Alava,Pais Vasco,regional
63,5,Agosto,2019,Virgen Blanca,Alava,Pais Vasco,local
64,15,Agosto,2019,Asunción de la Virgen,Alava,Pais Vasco,nacional
65,12,Octubre,2019,Fiesta Nacional Española,Alava,Pais Vasco,nacional
66,1,Noviembre,2019,,Alava,Pais Vasco,nacional
67,6,Diciembre,2019,Día de la Constitución Española,Alava,Pais Vasco,nacional
68,25,Diciembre,2019,Natividad del Señor,Alava,Pais Vasco,nacional
69,1,Enero,2020,Año nuevo,Alava,Pais Vasco,nacional
70,6,Enero,2020,Epifanía del Señor,Alava,Pais Vasco,nacional
71,19,Marzo,2020,San José,Alava,Pais Vasco,regional
72,9,Abril,2020,Jueves Santo,Alava,Pais Vasco,regional
73,10,Abril,2020,Viernes Santo,Alava,Pais Vasco,nacional
74,13,Abril,2020,Lunes de Pascua,Alava,Pais Vasco,regional
75,28,Abril,2020,San Prudencio,Alava,Pais Vasco,local
76,1,Mayo,2020,Fiesta del Trabajo,Alava,Pais Vasco,nacional
77,25,Julio,2020,Santiago Apostol,Alava,Pais Vasco,regional
78,5,Agosto,2020,Virgen Blanca,Alava,Pais Vasco,local
79,15,Agosto,2020,Asunción de la Virgen,Alava,Pais Vasco,nacional
80,12,Octubre,2020,Fiesta Nacional Española,Alava,Pais Vasco,nacional
81,8,Diciembre,2020,Inmaculada Concepción,Alava,Pais Vasco,nacional
82,25,Diciembre,2020,Navidad del Señor,Alava,Pais Vasco,nacional
83,1,Enero,2021,Año nuevo,Alava,Pais Vasco,nacional
84,6,Enero,2021,Epifanía del Señor,Alava,Pais Vasco,nacional
85,19,Marzo,2021,San José,Alava,Pais Vasco,regional
86,1,Abril,2021,Jueves Santo,Alava,Pais Vasco,regional
87,2,Abril,2021,Viernes Santo,Alava,Pais Vasco,nacional
88,5,Abril,2021,Lunes de Pascua,Alava,Pais Vasco,regional
89,28,Abril,2021,San Prudencio,Alava,Pais Vasco,local
90,1,Mayo,2021,Fiesta del Trabajo,Alava,Pais Vasco,nacional
91,5,Agosto,2021,Virgen Blanca,Alava,Pais Vasco,local
92,12,Octubre,2021,Fiesta Nacional Española,Alava,Pais Vasco,nacional
93,1,Noviembre,2021,Día de Todos los Santos,Alava,Pais Vasco,nacional
94,6,Diciembre,2021,Día de la Constitución Española,Alava,Pais Vasco,nacional
95,8,Diciembre,2021,Inmaculada Concepción,Alava,Pais Vasco,nacional
96,25,Diciembre,2021,Navidad,Alava,Pais Vasco,nacional
97,1,Enero,2022,Año nuevo,Alava,Pais Vasco,nacional
98,6,Enero,2022,Epifanía del Señor,Alava,Pais Vasco,nacional
99,14,Abril,2022,Jueves Santo,Alava,Pais Vasco,regional
100,15,Abril,2022,Viernes Santo,Alava,Pais Vasco,nacional
101,18,Abril,2022,Lunes de Pascua,Alava,Pais Vasco,regional
102,28,Abril,2022,San Prudencio,Alava,Pais Vasco,local
103,25,Julio,2022,Santiago Apostol,Alava,Pais Vasco,regional
104,15,Agosto,2022,Asunción de la Virgen,Alava,Pais Vasco,nacional
105,6,Septiembre,2022,Centenario de la vuelta al mundo,Alava,Pais Vasco,regional
106,12,Octubre,2022,Fiesta Nacional Española,Alava,Pais Vasco,nacional
107,1,Noviembre,2022,Día de Todos los Santos,Alava,Pais Vasco,nacional
108,6,Diciembre,2022,Día de la Constitución Española,Alava,Pais Vasco,nacional
109,8,Diciembre,2022,Inmaculada Concepción,Alava,Pais Vasco,nacional
110,6,Enero,2023,Día de Reyes,Alava,Pais Vasco,nacional
111,6,Abril,2023,Jueves Santo,Alava,Pais Vasco,regional
112,7,Abril,2023,Viernes Santo,Alava,Pais Vasco,nacional
113,10,Abril,2023,Lunes de Pascua,Alava,Pais Vasco,regional
114,28,Abril,2023,San Prudencio,Alava,Pais Vasco,local
115,1,Mayo,2023,Día Del Trabajo,Alava,Pais Vasco,nacional
116,25,Julio,2023,Santiago Apostol,Alava,Pais Vasco,regional
117,5,Agosto,2023,La Blanca,Alava,Pais Vasco,local
118,15,Agosto,2023,Asunción de la Virgen,Alava,Pais Vasco,nacional
119,12,Octubre,2023,Fiesta Nacional Española,Alava,Pais Vasco,nacional
120,1,Noviembre,2023,Día de Todos los Santos,Alava,Pais Vasco,nacional
121,6,Diciembre,2023,Día de la Constitución Española,Alava,Pais Vasco,nacional
122,8,Diciembre,2023,Inmaculada Concepción,Alava,Pais Vasco,nacional
123,25,Diciembre,2023,Navidad,Alava,Pais Vasco,nacional
124,1,Enero,2024,Año nuevo,Alava,Pais Vasco,nacional
125,6,Enero,2024,Epifanía del Señor,Alava,Pais Vasco,nacional
126,28,Marzo,2024,Jueves Santo,Alava,Pais Vasco,regional
127,29,Marzo,2024,Viernes Santo,Alava,Pais Vasco,nacional
128,1,Abril,2024,Lunes de Pascua,Alava,Pais Vasco,regional
129,28,Abril,2024,San Prudencio(se traslada al lunes),Alava,Pais Vasco,local
130,1,Mayo,2024,Día del Trabajo,Alava,Pais Vasco,nacional
131,25,Julio,2024,Santiago Apostol,Alava,Pais Vasco,regional
132,5,Agosto,2024,Virgen Blanca,Alava,Pais Vasco,local
133,15,Agosto,2024,Asunción de la Virgen,Alava,Pais Vasco,nacional
134,12,Octubre,2024,Fiesta Nacional Española,Alava,Pais Vasco,nacional
135,1,Noviembre,2024,Día de Todos los Santos,Alava,Pais Vasco,nacional
