,Anio,Mes,"Negocio, motivos profesionales","Ocio, recreo y vacaciones",Otros motivos,Total
113,2025,3,561801,5306743,725060,6593604
112,2025,2,402453,4422360,572465,5397279
111,2025,1,244325,4119870,700898,5065094
110,2024,12,287335,4257518,719521,5264375
109,2024,11,463667,4622268,584284,5670219
108,2024,10,525253,7796628,640051,8961932
107,2024,9,567884,8474002,560130,9602015
106,2024,8,152920,10156706,619957,10929584
105,2024,7,338706,9894693,618949,10852347
104,2024,6,578622,8081685,639267,9299574
103,2024,5,520685,8070902,664398,9255985
102,2024,4,517288,6528656,737805,7783750
101,2024,3,511019,5199955,639496,6350471
100,2024,2,458250,4045261,509986,5013497
99,2024,1,226822,3920738,627989,4775549
98,2023,12,280033,4174457,754595,5209085
97,2023,11,435424,4181913,518162,5135498
96,2023,10,606756,6997851,582416,8187022
95,2023,9,498439,7850297,446690,8795425
94,2023,8,153751,9392958,639454,10186163
93,2023,7,339885,9226130,550901,10116916
92,2023,6,506317,7273357,527786,8307460
91,2023,5,462140,7273620,564624,8300384
90,2023,4,415906,6191036,621152,7228094
89,2023,3,471392,4289177,486773,5247341
88,2023,2,388515,3511872,420277,4320665
87,2023,1,267341,3412404,455249,4134995
86,2022,12,282800,3319525,524968,4127293
85,2022,11,424499,3554483,355669,4334651
84,2022,10,552119,6128414,496451,7176984
83,2022,9,491244,6863955,412013,7767211
82,2022,8,230308,8156393,461963,8848665
81,2022,7,298116,8304492,488782,9091390
80,2022,6,430281,6668228,399647,7498156
79,2022,5,542405,5931285,514663,6988353
78,2022,4,417369,5204968,483979,6106316
77,2022,3,366007,3358283,315242,4039532
76,2022,2,227395,2632372,319521,3179288
75,2022,1,148350,2009257,343836,2501443
74,2021,12,220570,2345683,381272,2947525
73,2021,11,252041,2815695,294178,3361913
72,2021,10,290320,4519648,338852,5148820
71,2021,9,256046,4161869,286018,4703933
70,2021,8,110660,4758280,327580,5196520
69,2021,7,181782,3871103,346108,4398992
68,2021,6,190247,1775810,250299,2216356
67,2021,5,180473,1006187,176503,1363164
66,2021,4,133412,390801,104992,629206
65,2021,3,134405,267565,89457,491427
64,2021,2,65992,162575,56408,284974
63,2021,1,60272,274925,102776,437973
62,2020,12,103055,385414,160521,648989
61,2020,11,80992,295647,80175,456814
60,2020,10,70468,800953,149352,1020773
59,2020,9,74877,902587,161404,1138868
58,2020,8,45800,2169355,225822,2440978
57,2020,7,97400,2122117,245263,2464779
56,2020,6,12680,167634,23958,204272
55,2020,5,0,0,0,0
54,2020,4,0,0,0,0
53,2020,3,137113,1657119,203030,1997262
52,2020,2,353616,3654750,418978,4427344
51,2020,1,370060,3377951,385013,4133024
50,2019,12,384744,3533161,386836,4304741
49,2019,11,490102,3815851,349069,4655021
48,2019,10,577666,6628274,381809,7587749
47,2019,9,514014,7947555,383584,8845152
46,2019,8,186837,9451449,480080,10118366
45,2019,7,425815,8975647,471808,9873270
44,2019,6,589064,7817617,427213,8833893
43,2019,5,544991,6917988,456226,7919204
42,2019,4,440058,6212566,493409,7146033
41,2019,3,487217,4685301,477059,5649577
40,2019,2,426478,3550662,403364,4380504
39,2019,1,342198,3440353,413090,4195641
38,2018,12,321116,3571407,462275,4354798
37,2018,11,445118,3763368,328388,4536873
36,2018,10,525779,6707426,416656,7649860
35,2018,9,507364,7987061,437884,8932308
34,2018,8,165191,9370729,639841,10175761
33,2018,7,337017,9070322,612908,10020246
32,2018,6,492467,7508130,553709,8554306
31,2018,5,422922,7149584,513543,8086048
30,2018,4,514279,5782796,483303,6780378
29,2018,3,586826,4341659,464702,5393186
28,2018,2,435131,3458372,324544,4218047
27,2018,1,270147,3462200,374254,4106601
26,2017,12,343303,3217373,421854,3982530
25,2017,11,378712,3676581,337281,4392575
24,2017,10,490368,6331811,447753,7269931
23,2017,9,512468,7949343,415460,8877270
22,2017,8,167352,9596016,634376,10397745
21,2017,7,355118,9427961,710359,10493438
20,2017,6,502206,7401577,528191,8431975
19,2017,5,493965,6895568,613115,8002648
18,2017,4,363773,6065684,652137,7081594
17,2017,3,444136,3995086,474721,4913943
16,2017,2,346003,3387506,385628,4119137
15,2017,1,323058,3142597,440081,3905736
14,2016,12,338164,3115937,536345,3990446
13,2016,11,416829,3251951,429482,4098262
12,2016,10,545652,6100455,491615,7137723
11,2016,9,396444,7057857,478306,7932607
10,2016,8,122373,9296900,608198,10027471
9,2016,7,303483,8664754,577555,9545792
8,2016,6,442129,6591364,519265,7552758
7,2016,5,478728,6078190,554236,7111154
6,2016,4,459199,4921015,706113,6086327
5,2016,3,387761,3747057,492388,4627206
4,2016,2,441059,2814264,423403,3678726
3,2016,1,347876,2671999,506662,3526537
2,2015,12,301888,2631906,579120,3512914
1,2015,11,393014,2926298,435490,3754802
0,2015,10,469568,5311088,651685,6432341
